,logFC,AveExpr,t,P.Value,adj.P.Val,B,gene
PYCR1,0.339115758071878,7.111681950135,3.07801030792787,0.00406592916688904,0.0304299502739107,-3.22718808559775,PYCR1
ATP7A,-0.666338391873667,5.3232259196421,-3.07755166256097,0.00407082597175965,0.0304467664229894,-2.80917464388036,ATP7A
STK39,-0.62255844383223,5.50118108653189,-3.07727692600879,0.00407376191714376,0.0304467664229894,-2.81870374496381,STK39
VSIR,-0.972174921007309,4.1192782816275,-3.07708906050861,0.0040757706777262,0.0304467664229894,-2.48543077344396,VSIR
EIF1AX,0.378277931800655,5.76273575374074,3.07564024423441,0.00409129375221364,0.0305437554052598,-2.97141584782763,EIF1AX
SEMA6D,-1.73155852570008,4.36841591843009,-3.20953227813058,0.00413345288747723,0.0308393535221394,-2.43746780458681,SEMA6D
MGAT4B,-0.507141329547428,8.56512372082809,-3.17031611245674,0.00413959148580047,0.0308660054555004,-3.48859202868052,MGAT4B
TIAM2,-1.26548602967277,2.39376140802127,-3.0702146247427,0.00414992433398543,0.0309238785407948,-2.16518541351775,TIAM2
EML2,-0.475298508232784,5.72543148437377,-3.06891699367405,0.00416406425675917,0.0310100314650419,-2.9284269432444,EML2
EHD1,-0.460461120356276,5.66509664550621,-3.06865280818806,0.00416694859426327,0.0310123086282205,-2.96270836446326,EHD1
SLK,0.402933895603354,6.12645462716321,3.06755168970341,0.00417899082104078,0.031082697962064,-3.07506642296449,SLK
UBTD2,0.411450624233532,6.10020988282134,3.06718556400571,0.00418300219517402,0.031093304945215,-3.09455396694726,UBTD2
XAF1,0.821387769388908,3.52040895998033,3.06588047575442,0.0041973307719264,0.0311805418122043,-2.40796817865656,XAF1
SINHCAF,0.248864369400106,8.28478262089807,3.06500724673654,0.00420694388805898,0.0312326616096145,-3.55938476681098,SINHCAF
CETN3,0.654713639280789,3.793970169154,3.06477169499472,0.00420954057280994,0.0312326616096145,-2.53455012015385,CETN3
OSBPL8,0.399503966348838,6.2117904082792,3.0636052728576,0.00422242139270381,0.0313089162084148,-3.12349427204761,OSBPL8
SMARCE1,0.413217736254906,5.40001117433232,3.06262388406048,0.00423328777125944,0.0313701491219576,-2.91628120620969,SMARCE1
KNTC1,0.587824237960834,5.99199137902664,3.06943504698577,0.00423805731908461,0.0313861547885657,-3.0304194717618,KNTC1
USP46,0.79236850909431,4.47089924225236,3.05931340510998,0.00427013840132987,0.0315906291963523,-2.62527585744355,USP46
NRBP1,-0.24053522473823,7.80014383656355,-3.05924342207252,0.00427092068456546,0.0315906291963523,-3.50354044532066,NRBP1
RASL10A,1.54476876716372,-0.184210353365683,3.05614280075593,0.00430571640401102,0.0318284272839831,-2.00251176852325,RASL10A
ATP5MC3,-0.257641106214017,8.86585616777231,-3.05561850277079,0.00431162661335595,0.0318525388690615,-3.65443689284069,ATP5MC3
C2orf72,-0.544795209848697,5.27352958106269,-3.05318978503613,0.00433910486967448,0.0320358589733426,-2.92599995707583,C2orf72
ARHGEF26,0.906368209180029,3.55557150697528,3.05198637461374,0.00435278142250177,0.0321011166020481,-2.46567167081358,ARHGEF26
GCAT,0.688872230776842,4.00776384697314,3.05194240678291,0.00435328188059703,0.0321011166020481,-2.64050733824145,GCAT
TMEM67,0.789980464879367,3.52831120428712,3.04896248846661,0.0043873275361723,0.0323323457582992,-2.45077087085015,TMEM67
ACACA,0.643761765190811,5.4459763272817,3.05312495032742,0.0043901703340665,0.0323334835320379,-2.95549108387938,ACACA
MRPS6,0.425570578936207,5.22226684123274,3.0465390043883,0.00441520142422608,0.0324979360643617,-2.92182157791081,MRPS6
PDZK1,-1.49548488437417,0.255451786826072,-3.04423237019266,0.00444188682854538,0.0326624442312397,-2.07596446384416,PDZK1
PDK1,0.407061520834497,6.42447617552146,3.04413788378115,0.00444298318469346,0.0326624442312397,-3.17715356534005,PDK1
RNF7,-0.309396864560695,6.89296192406063,-3.04389506250279,0.00444580189167028,0.0326632005810131,-3.32782364952472,RNF7
NUP50,0.421114449677284,6.23779101407672,3.04298005862049,0.0044564385951251,0.0327057343433826,-3.16404047615443,NUP50
GPR153,-0.817626702712407,5.68492085581481,-3.0767588512335,0.00445702989846213,0.0327057343433826,-2.90315725952486,GPR153
SHANK2,0.981879484968669,2.32157626666433,3.04130672650767,0.00447595294669964,0.0328245646889979,-2.38884743953096,SHANK2
MANEA,0.654469538115088,4.29033421182594,3.04068169252801,0.00448326277678769,0.0328480984284899,-2.6510858209956,MANEA
SMARCA2,-0.547645801398579,5.51975522705391,-3.04056537236996,0.00448462439673904,0.0328480984284899,-2.97926049881965,SMARCA2
CSNK1A1,0.225518875593139,7.50644907284779,3.03886969072666,0.00450451813978279,0.0329737307773388,-3.51066288267932,CSNK1A1
HOXC11,-0.857018808604284,2.94794957120738,-3.03826495184441,0.00451163309671854,0.0329803554717005,-2.37004565878983,HOXC11
TECR,-0.22133707944332,8.32905560147951,-3.03823097796595,0.00451203312584877,0.0329803554717005,-3.62869739323633,TECR
TIMM10,-0.444970586711696,5.91109236741858,-3.03809371256311,0.00451364971367914,0.0329803554717005,-3.01564283605344,TIMM10
ESYT1,0.31274532846243,8.20630646537908,3.03756247505917,0.00451991130967946,0.0330060554471857,-3.6323162022202,ESYT1
TRABD2A,-0.396727697188552,6.68404801315305,-3.03696340267865,0.00452698231236069,0.0330376312322585,-3.1970894437018,TRABD2A
BIRC5,0.323211316533132,6.99768519002332,3.03530645684936,0.00454659415315935,0.0331558097486447,-3.37892271899608,BIRC5
ICAM1,1.52056828521115,1.81363837216798,3.03512984459199,0.00454868928953719,0.0331558097486447,-2.11639233053261,ICAM1
SCUBE2,-1.7903209252193,0.99283542873374,-3.03463633081241,0.00455454864036316,0.0331784109616279,-2.09300980325503,SCUBE2
C14orf119,-0.313559048825023,7.01456577189477,-3.03324266231091,0.00457113381407902,0.0332651348676116,-3.35688740323414,C14orf119
HLA-DMA,-0.978751349620637,2.72163930286664,-3.03300020995921,0.00457402490910684,0.0332651348676116,-2.32688173544333,HLA-DMA
POGLUT3,0.372452694668723,6.6732976783926,3.03293932196974,0.0045747512323131,0.0332651348676116,-3.31387965278429,POGLUT3
ACSL4,0.426897304336697,6.31066286728632,3.03207176775764,0.00458511199656936,0.033320327482018,-3.1354661281926,ACSL4
NMT1,-0.496575626596874,6.26749048130216,-3.03180551605311,0.00458829615108252,0.0333233320103077,-3.07586413934601,NMT1
TENT5A,-0.595027268446696,6.01618429038975,-3.03037705401863,0.0046054151066259,0.0334274758523776,-3.01025892807863,TENT5A
PRKCD,-0.315378858795463,7.13144084165559,-3.03013665024982,0.00460830207672942,0.033428256379267,-3.4045451226548,PRKCD
NHLRC3,0.57956000863989,4.77584155747074,3.02828870453824,0.00463055091770581,0.0335694007759179,-2.8852835474869,NHLRC3
LPIN2,-0.614850976228607,5.06538682190008,-3.02773185096107,0.00463727518037194,0.0335978967435743,-2.88937854295732,LPIN2
PRXL2B,-0.408659441021614,5.47154301898828,-3.02730881249988,0.00464238972927319,0.0336147027537439,-2.98634464007654,PRXL2B
ENPP1,1.06111732562029,2.51573602450018,3.02572533007756,0.00466158143046877,0.0337065816141106,-2.4336042184377,ENPP1
EPS8L3,-0.23721618006177,7.87732825036326,-3.0256763516256,0.00466217623935128,0.0337065816141106,-3.59848765321017,EPS8L3
CNNM4,-0.346004185402991,6.3490371997476,-3.02556848368001,0.00466348647259333,0.0337065816141106,-3.24518817366973,CNNM4
JAK1,0.228678216966966,8.33394855096003,3.02530970828217,0.00466663114287332,0.03370741898373,-3.6699320857293,JAK1
KMT2E,-0.255123024514562,7.37389641142535,-3.0250978124568,0.00466920761843303,0.03370741898373,-3.5047565478742,KMT2E
CCT2,0.220597784513933,8.59744092948564,3.02304579925551,0.00469422798863027,0.03386771446866,-3.70313603476485,CCT2
HBS1L,0.270535330412819,7.11045710596609,3.0227376469921,0.00469799623428844,0.0338745807612632,-3.43622565323618,HBS1L
PTPN14,0.84638887660902,3.28707351297772,3.01916029852394,0.00474195152795222,0.0341710311723675,-2.4851803101066,PTPN14
SOWAHA,-0.510544554930126,4.70326982503828,-3.01873446715468,0.00474720955915333,0.0341884367472677,-2.89876092543708,SOWAHA
KCNK1,0.482203989642847,5.27010756520654,3.0172031712373,0.00476616305118197,0.0343043943845395,-2.96897475660173,KCNK1
PMP22,1.231840977394,2.23762993321676,3.01531750717226,0.00478960088585752,0.0344496635139543,-2.33176865582203,PMP22
STAMBPL1,-0.613253890291754,4.51498431708726,-3.01504866712247,0.00479295127987237,0.0344496635139543,-2.73098396354501,STAMBPL1
TPP2,0.406790043566176,5.99535151573196,3.01488921788196,0.00479493944644212,0.0344496635139543,-3.15332847714406,TPP2
ARHGAP42,0.781239168285698,4.28541459058073,3.01429702716673,0.00480233026861954,0.0344789776008614,-2.77432544087668,ARHGAP42
FAM216A,1.32248986555529,1.91097472410274,3.01410307855605,0.00480475317693887,0.0344789776008614,-2.25355900203924,FAM216A
SSX2IP,0.824237995383439,4.72592595852782,3.01534923472878,0.00483275160683506,0.0346592150121677,-2.79509979935466,SSX2IP
ANKIB1,0.63118361518054,4.05644109831404,3.00944771477477,0.00486325792566061,0.0348572127961384,-2.68697496788463,ANKIB1
RARG,-0.576817007573159,5.52421986847451,-3.00872510179781,0.00487239919565453,0.0349019327731608,-3.0201400727677,RARG
NOTCH1,-0.6623548563872,5.31391242406434,-3.01139619464673,0.00488250692296515,0.034953518311013,-3.00392228914071,NOTCH1
ZNF589,-1.21493632365947,3.10849765527338,-3.00574094538691,0.00491032172647604,0.035131730758077,-2.42728671366031,ZNF589
STX3,0.278638127558408,7.29907191859848,3.00214804072641,0.00495634980135565,0.0354399637698599,-3.56923186195635,STX3
CNKSR3,-0.595296363998876,5.51737408006465,-3.00133276665008,0.00496685065864623,0.0354939470419122,-3.03626945504367,CNKSR3
WRNIP1,0.355780508217419,6.46619823388076,2.99715540610343,0.00502098585442141,0.0358594993296474,-3.32763356493037,WRNIP1
