,logFC,AveExpr,t,P.Value,adj.P.Val,B,gene
RPL37,-0.301182548660412,6.58156887900465,-2.27942102084963,0.0289366441112238,0.141184997454641,-4.83727317189249,RPL37
HNRNPDL,0.35730486776683,6.00862254957079,2.27890126138597,0.0289707925946034,0.141294291376843,-4.66507849384047,HNRNPDL
SLC25A28,-0.522197206240143,4.13943914947414,-2.27810411211258,0.0290232360825942,0.141492687622765,-4.2046579311498,SLC25A28
TRIP4,-0.323099297180363,5.93406067472193,-2.27778583965619,0.0290441986530498,0.141537511021163,-4.62783335980289,TRIP4
BCKDHB,-0.293913968943191,6.02291465761997,-2.27715241014567,0.0290859590741781,0.141683608661458,-4.7072917794631,BCKDHB
RPN2,0.129801382511912,10.1627291934764,2.27660244300393,0.0291222607617439,0.141803008170645,-5.47132700622506,RPN2
ZNF285,-1.50545007097664,1.05622412567894,-2.27614524645115,0.0291524699095661,0.14189265706287,-3.57593588407524,ZNF285
CAMKK2,-0.291345839534789,6.85750083383664,-2.27565721814841,0.0291847473091121,0.141992296070668,-4.897772984467,CAMKK2
CCDC121,-1.10114993895527,1.85562799751995,-2.27510234474808,0.0292214847211983,0.142031496860002,-3.63576878561622,CCDC121
PPARGC1A,-0.468843470742043,4.87752718410757,-2.27502530121761,0.0292265889504912,0.142031496860002,-4.44224077705382,PPARGC1A
EXPH5,-0.376619680168714,5.81129474580925,-2.27494713939649,0.0292317680860684,0.142031496860002,-4.63851640415287,EXPH5
GEMIN8,0.421440313016628,4.96413073335349,2.27475544302789,0.0292444737039043,0.142031496860002,-4.44343638250681,GEMIN8
TEX10,0.354886477817458,5.77872846892681,2.27452366444693,0.0292598425898883,0.142031496860002,-4.64545792445998,TEX10
MTM1,-0.380078808573344,6.03907642857868,-2.27417627900917,0.0292828907724497,0.142031496860002,-4.66146393505079,MTM1
FBXL18,-0.897113434799966,2.38037405684884,-2.27417366429873,0.0292830643139525,0.142031496860002,-3.75197498783566,FBXL18
SDC4,0.23118252805762,7.57008555783554,2.27408801479504,0.0292887494859843,0.142031496860002,-5.09746643296781,SDC4
ARF6,-0.17614950947986,8.0802897689906,-2.27393228354715,0.029299089025498,0.142031496860002,-5.18507459055541,ARF6
UTP18,0.279554386828422,6.29579626212499,2.27367005332275,0.029316506808719,0.142058673403893,-4.76091508375389,UTP18
MTA3,-0.283860567614037,5.96052692856619,-2.27237226419985,0.0294028451361464,0.142419661076292,-4.66737238301935,MTA3
DLG3,0.204016225787701,7.49943150721234,2.27169619780553,0.02944791234199,0.142580532100287,-5.13032868254171,DLG3
